# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Dieren
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Voeding voor waterplanten > Vloeibare voeding
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Voeding voor waterplanten > Poedervoeding
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Voeding voor waterplanten > Tabletvoeding
gid://shopify/TaxonomyCategory/ap-2-4-15         : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Voedseldispensers voor vissen
gid://shopify/TaxonomyCategory/ap-2-4-16         : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visvoer
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visvoer > Algenwafels
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visvoer > Bettavoer
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visvoer > Cichlidenvoer
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visvoer > Droog visvoer
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visvoer > Gevriesdroogd voer
gid://shopify/TaxonomyCategory/ap-2-4-16-6       : Dieren > Benodigdheden voor huisdieren > Benodigdheden voor vissen en water > Visvoer > Diepvriesvoer
