# Shopify Product Taxonomy - Categories: 2025-01-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : 동물/반려동물 용품
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 스탠드 > 캐비넷 스탠드
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 스탠드 > 2단 탱크 스탠드
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 스탠드 > 연철 스탠드
gid://shopify/TaxonomyCategory/ap-2-4-11         : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 온도 조절기
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 온도 조절기 > 아날로그 온도 조절기
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 온도 조절기 > 디지털 온도 조절기
gid://shopify/TaxonomyCategory/ap-2-4-12         : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > 조류 관리
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > 암모니아 제거제
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > 곰팡이/세균 치료제
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > 질산염 제거제
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > PH 조절기
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > 수돗물 중화제
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > 물 정화제
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관 정수 약품 > 물 컨디셔너
gid://shopify/TaxonomyCategory/ap-2-4-13         : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수족관
gid://shopify/TaxonomyCategory/ap-2-4-14         : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수중 식물 비료
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수중 식물 비료 > 과립형 비료
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수중 식물 비료 > 액상 비료
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수중 식물 비료 > 분말 비료
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 수중 식물 비료 > 알약 비료
gid://shopify/TaxonomyCategory/ap-2-4-15         : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 자동 급식기
gid://shopify/TaxonomyCategory/ap-2-4-16         : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : 동물/반려동물 용품 > 반려동물 용품 > 어류/수족관 용품 > 물고기 먹이 > 알게 와퍼
