# Shopify Product Taxonomy - Categories: 2025-05-unstable
# Format: {GID} : {Ancestor name} > ... > {Category name}

gid://shopify/TaxonomyCategory/ap                : Животные и товары для питомцев
gid://shopify/TaxonomyCategory/ap-2-4-7-1        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов > Аквариумный грунт
gid://shopify/TaxonomyCategory/ap-2-4-7-2        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов > Арагонитовый песок
gid://shopify/TaxonomyCategory/ap-2-4-7-3        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов > Коралловая крошка
gid://shopify/TaxonomyCategory/ap-2-4-7-4        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов > Стеклянные камни
gid://shopify/TaxonomyCategory/ap-2-4-7-5        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов > Гравий
gid://shopify/TaxonomyCategory/ap-2-4-7-6        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов > Галька
gid://shopify/TaxonomyCategory/ap-2-4-7-7        : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Гравий и грунт для аквариумов > Песок
gid://shopify/TaxonomyCategory/ap-2-4-8          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Освещение аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-9          : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Переливные колонки для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-10         : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Подставки и тумбы для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-10-1       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Подставки и тумбы для аквариумов > Каркасные стойки
gid://shopify/TaxonomyCategory/ap-2-4-10-2       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Подставки и тумбы для аквариумов > Тумбы
gid://shopify/TaxonomyCategory/ap-2-4-10-3       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Подставки и тумбы для аквариумов > Подставки для двух аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-10-4       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Подставки и тумбы для аквариумов > Стойки из кованого железа
gid://shopify/TaxonomyCategory/ap-2-4-11         : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Терморегуляторы для аквариумов
gid://shopify/TaxonomyCategory/ap-2-4-11-1       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Терморегуляторы для аквариумов > Аналоговые терморегуляторы
gid://shopify/TaxonomyCategory/ap-2-4-11-2       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Терморегуляторы для аквариумов > Цифровые терморегуляторы
gid://shopify/TaxonomyCategory/ap-2-4-12         : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия
gid://shopify/TaxonomyCategory/ap-2-4-12-1       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Средства от водорослей (альгициды)
gid://shopify/TaxonomyCategory/ap-2-4-12-2       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Средства для нейтрализации аммиака
gid://shopify/TaxonomyCategory/ap-2-4-12-3       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Препараты от грибков и патогенных бактерий
gid://shopify/TaxonomyCategory/ap-2-4-12-4       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Средства для нейтрализации нитратов
gid://shopify/TaxonomyCategory/ap-2-4-12-5       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Регуляторы уровня pH
gid://shopify/TaxonomyCategory/ap-2-4-12-6       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Детоксикаторы водопроводной воды
gid://shopify/TaxonomyCategory/ap-2-4-12-7       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Очистители воды
gid://shopify/TaxonomyCategory/ap-2-4-12-8       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумная химия > Кондиционеры для воды
gid://shopify/TaxonomyCategory/ap-2-4-13         : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Аквариумы
gid://shopify/TaxonomyCategory/ap-2-4-14         : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Удобрения для водорослей
gid://shopify/TaxonomyCategory/ap-2-4-14-1       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Удобрения для водорослей > Гранулированные удобрения
gid://shopify/TaxonomyCategory/ap-2-4-14-2       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Удобрения для водорослей > Жидкие удобрения
gid://shopify/TaxonomyCategory/ap-2-4-14-3       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Удобрения для водорослей > Порошковые удобрения
gid://shopify/TaxonomyCategory/ap-2-4-14-4       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Удобрения для водорослей > Удобрения в таблетках
gid://shopify/TaxonomyCategory/ap-2-4-15         : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Кормушки для рыб
gid://shopify/TaxonomyCategory/ap-2-4-16         : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Корм для рыб
gid://shopify/TaxonomyCategory/ap-2-4-16-1       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Корм для рыб > Корм для донных рыб
gid://shopify/TaxonomyCategory/ap-2-4-16-2       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Корм для рыб > Корм для петушков
gid://shopify/TaxonomyCategory/ap-2-4-16-3       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Корм для рыб > Корм для цихлид
gid://shopify/TaxonomyCategory/ap-2-4-16-4       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Корм для рыб > Сухой корм для рыб
gid://shopify/TaxonomyCategory/ap-2-4-16-5       : Животные и товары для питомцев > Товары для домашних животных > Товары для рыб и аквариумов > Корм для рыб > Сублимированный корм
