# Shopify Product Taxonomy - Mappings: 0.18.0
# Format:
# product_category_id: {input_product_category_id}, full_name: {full_name} => product_category_id: {output_product_category_id}, full_name: {full_name}

product_category_id: gid://shopify/TaxonomyCategory/158, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-10, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/159, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-2-11, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/160, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/161, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/162, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/163, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/164, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-9, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/165, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-10, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/166, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-10-1, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/167, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-10-2, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/168, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-10-3, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/169, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-10-4, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/170, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-10-5, full_name: TBD
product_category_id: gid://shopify/TaxonomyCategory/171, full_name: TBD => product_category_id: gid://shopify/TaxonomyCategory/aa-1-10-6, full_name: TBD
